No.,物件番号,物件種目,専有面積,所在地
取引態様,価格,用途地域,㎡単価,建物名,所在階,間取
,管理費,,坪単価,沿線駅,交通
成約年月日
,築年月,
1,100126618457,中古マンション,86.31㎡,神奈川県横浜市磯子区杉田坪呑
専任,"2,380万円",-,27.6万円,杉田坪呑団地,2階,3ＬＤＫ
,"6,700円",,91.2万円,京浜急行線　杉田,徒歩　13分
令和 5年12月10日
,1990年（平成 2年） 8月,
2,100126148139,中古マンション,55.55㎡,神奈川県横浜市磯子区杉田４丁目
専任,"2,280万円",一住,41.1万円,,4階,2ＬＤＫ
,"12,800円",,135.7万円,京浜急行線　杉田,徒歩　5分
令和 5年10月22日
,1994年（平成 6年）12月,
3,100113213213,中古マンション,60.97㎡,神奈川県横浜市磯子区杉田３丁目
専任,460万円,一低,7.6万円,ＧＳハイム杉田２号棟,2階,3ＤＫ
,"10,000円",,25.0万円,京浜急行線　杉田,徒歩　9分
令和 5年10月30日
,1977年（昭和52年）10月,
4,100125144414,中古マンション,75.95㎡,神奈川県横浜市磯子区杉田１丁目
一般,"5,980万円",商業,78.8万円,ヨコハマシーナリータワー,21階,3ＬＤＫ
,"16,000円",,260.3万円,京浜東北線　新杉田,徒歩　2分
令和 5年10月 9日
,2004年（平成16年） 9月,
5,100124116091,中古マンション,75.95㎡,神奈川県横浜市磯子区杉田１丁目
専任,"5,600万円",商業,73.8万円,ヨコハマ・シーナリータワー,22階,3ＬＤＫ
,"16,000円",,243.8万円,根岸線　新杉田,徒歩　2分
令和 5年 9月30日
,2004年（平成16年） 9月,
6,100124840391,中古マンション,56.91㎡,神奈川県横浜市磯子区杉田７丁目
専任,"1,000万円",二中,17.6万円,杉田大谷団地　１５棟,1階,3ＤＫ
,"7,400円",,58.1万円,京浜急行線　杉田,徒歩　19分
令和 5年 8月27日
,1973年（昭和48年） 4月,
7,100124723847,中古マンション,54.68㎡,神奈川県横浜市磯子区杉田７丁目
売主,"1,698万円",二中,31.1万円,杉田大谷団地５号棟,3階,2ＬＤＫ
,"7,400円",,102.7万円,京浜急行線　杉田,徒歩　15分
令和 5年 8月18日
,1973年（昭和48年） 3月,
8,100124996102,中古マンション,56.91㎡,神奈川県横浜市磯子区杉田７丁目
専任,"1,488万円",二中,26.2万円,杉田大谷団地１２号棟,5階,3ＬＤＫ
,"7,400円",,86.5万円,京浜急行線　杉田,徒歩　15分
令和 5年 8月13日
,1973年（昭和48年） 3月,
9,100124668316,中古マンション,54.68㎡,神奈川県横浜市磯子区杉田７丁目
専任,900万円,二中,16.5万円,杉田大谷団地,1階,3ＤＫ
,"7,400円",,54.5万円,京浜急行線　杉田,徒歩　17分
令和 5年 7月30日
,1973年（昭和48年） 3月,
10,100124564017,中古マンション,93.85㎡,神奈川県横浜市磯子区杉田坪呑
専属,"2,080万円",一低,22.2万円,磯子杉田台第１団地,1階,4ＬＤＫ
,"6,700円",,73.3万円,京浜急行線　杉田,徒歩　13分
令和 5年 6月25日
,1989年（平成 1年） 8月,
11,100123003341,中古マンション,54.68㎡,神奈川県横浜市磯子区杉田７丁目
専任,900万円,二中,16.5万円,杉田大谷団地　７号棟,1階,2ＬＤＫ
,"7,400円",,54.5万円,京浜急行線　杉田,徒歩　18分
令和 5年 6月24日
,1973年（昭和48年） 3月,
12,100124266033,中古マンション,77.37㎡,神奈川県横浜市磯子区杉田１丁目
専任,"6,550万円",商業,84.7万円,ヨコハマ・シーナリータワー,25階,2ＬＤＫ
,"16,300円",,279.9万円,根岸線　新杉田,徒歩　2分
令和 5年 5月21日
,2004年（平成16年） 9月,
13,100123294575,中古マンション,56.25㎡,神奈川県横浜市磯子区杉田１丁目
専任,"2,080万円",近商,37.0万円,マイキャッスル杉田,2階,2ＬＤＫ
,"13,500円",,122.3万円,京浜急行線　杉田,徒歩　3分
令和 5年 4月 9日
,1996年（平成 8年）10月,
14,100123088007,中古マンション,56.91㎡,神奈川県横浜市磯子区杉田７丁目
売主,"1,280万円",二中,22.5万円,杉田大谷団地１５号棟,5階,2ＬＤＫ
